strain	ciprofloxacin_resistant
GCA_002145095.1	YES
GCA_002137225.1	YES
GCA_001441405.1	YES
GCA_000586635.1	YES
GCA_002144725.1	YES
GCA_002145055.1	YES
GCA_001441475.1	YES
GCA_002136965.1	YES
GCA_001441555.1	YES
GCA_002137795.1	YES
GCA_002145255.1	YES
GCA_002948925.1	YES
GCA_002137715.1	YES
GCA_001441415.1	YES
GCA_002143975.1	YES
GCA_002137335.1	YES
GCA_002145035.1	YES
GCA_001706495.1	YES
GCA_002947845.1	YES
GCA_002138035.1	YES
GCA_002138315.1	YES
GCA_002143015.1	YES
GCA_001713685.1	YES
GCA_002138245.1	YES
GCA_002136615.1	YES
GCA_002137815.1	YES
GCA_001441355.1	YES
GCA_002142995.1	YES
GCA_002137075.1	NO
GCA_002145205.1	NO
GCA_002137955.1	NO
GCA_002137775.1	NO
GCA_002143885.1	NO
GCA_001706585.1	NO
GCA_002144015.1	NO
GCA_002137645.1	NO
GCA_002144795.1	NO
GCA_002143345.1	NO
GCA_002138175.1	NO
GCA_002137365.1	NO
GCA_002136755.1	NO
GCA_002137855.1	NO
GCA_001706575.1	NO
GCA_002136655.1	NO
GCA_002143605.1	NO
GCA_001441545.1	NO
GCA_002136955.1	NO
GCA_002138225.1	NO
GCA_002148735.1	NO
GCA_001706425.1	NO
GCA_002143725.1	NO
GCA_002137935.1	NO
GCA_001706035.1	NO
GCA_001441625.1	NO
GCA_002145355.1	NO
GCA_002138155.1	NO
GCA_002143595.1	NO
GCA_002145395.1	NO
GCA_001706285.1	NO
GCA_002144885.1	NO
GCA_002137175.1	NO
GCA_002145265.1	NO
GCA_002144995.1	NO
GCA_002138235.1	NO
GCA_002137095.1	NO
GCA_001706305.1	NO
GCA_001706715.1	NO
GCA_001706635.1	NO
GCA_002143185.1	NO
GCA_002144845.1	NO
GCA_002136685.1	NO
GCA_002137575.1	NO
GCA_002143895.1	NO
GCA_001706215.1	NO
GCA_002138105.1	NO
GCA_002143955.1	NO
GCA_002137805.1	NO
GCA_001441645.1	NO
GCA_002136675.1	NO
GCA_002143415.1	NO
GCA_002136895.1	NO
GCA_002143025.1	NO
GCA_001706055.1	NO
GCA_001706205.1	NO
GCA_002145315.1	NO
GCA_002144915.1	NO
GCA_002143875.1	NO
GCA_001706135.1	NO
GCA_001713665.1	NO
GCA_002137115.1	NO
GCA_001706275.1	NO
GCA_002144955.1	NO
GCA_002143505.1	NO
GCA_002137515.1	NO
GCA_001706555.1	NO
GCA_001706355.1	NO
GCA_002137725.1	NO
GCA_001706115.1	NO
GCA_002144035.1	NO
GCA_002136995.1	NO
GCA_002137885.1	NO
GCA_001706125.1	NO
GCA_002137015.1	NO
GCA_001706695.1	NO
GCA_002137145.1	NO
GCA_002136815.1	NO
GCA_002137945.1	NO
GCA_002143475.1	NO
GCA_002143255.1	NO
GCA_002145325.1	NO
GCA_001706225.1	NO
GCA_001706065.1	NO
GCA_002145235.1	NO
GCA_002137215.1	NO
GCA_002144875.1	NO
GCA_001706435.1	NO
GCA_002136595.1	NO
GCA_002144835.1	NO
GCA_001706045.1	NO
GCA_002143515.1	NO
GCA_002137125.1	NO
GCA_002143175.1	NO
GCA_002137635.1	NO
GCA_002136575.1	NO
GCA_001706155.1	NO
GCA_002145415.1	NO
GCA_001706315.1	NO
GCA_002138095.1	NO
GCA_002148745.1	NO
GCA_002145295.1	NO
GCA_002143855.1	NO
GCA_002137265.1	NO
GCA_002137615.1	NO
GCA_001713675.1	NO
GCA_002137415.1	NO
GCA_001706195.1	NO
GCA_001706445.1	NO
GCA_002145155.1	NO
GCA_002144805.1	NO
GCA_002137255.1	NO
